word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
nat,22.0,20.0,26.0,27.0,30.0,40.0,28.0,25.0,47.0,44.0
med,22.0,40.0,28.0,36.0,42.0,48.0,49.0,65.0,59.0,55.0
famy,22.0,17.0,16.0,12.0,14.0,12.0,10.0,15.0,13.0,1.0
condit,22.0,24.0,35.0,39.0,48.0,29.0,27.0,32.0,48.0,30.0
hum,22.0,42.0,26.0,24.0,37.0,35.0,37.0,49.0,63.0,71.0
ldpc,22.0,35.0,29.0,27.0,11.0,16.0,9.0,6.0,9.0,5.0
multimed,22.0,11.0,13.0,11.0,10.0,6.0,14.0,5.0,8.0,4.0
conceiv,22.0,27.0,20.0,28.0,24.0,25.0,19.0,28.0,31.0,22.0
impact,22.0,38.0,25.0,29.0,32.0,34.0,29.0,25.0,29.0,30.0
spat,21.0,28.0,43.0,35.0,43.0,47.0,31.0,37.0,31.0,39.0
retriev,21.0,39.0,33.0,32.0,28.0,41.0,42.0,51.0,52.0,48.0
develop,21.0,42.0,40.0,55.0,50.0,51.0,31.0,28.0,46.0,35.0
formula,21.0,7.0,8.0,11.0,2.0,6.0,3.0,6.0,2.0,5.0
qual,21.0,30.0,18.0,28.0,40.0,43.0,29.0,33.0,34.0,28.0
key,21.0,40.0,38.0,36.0,26.0,33.0,24.0,15.0,13.0,17.0
recommend,21.0,14.0,14.0,30.0,35.0,34.0,27.0,30.0,48.0,40.0
seg,21.0,32.0,26.0,33.0,33.0,34.0,59.0,105.0,121.0,132.0
p,21.0,13.0,19.0,10.0,8.0,8.0,16.0,5.0,1.0,1.0
exact,21.0,23.0,31.0,27.0,21.0,26.0,14.0,11.0,22.0,7.0
hard,21.0,17.0,25.0,23.0,22.0,23.0,21.0,21.0,31.0,16.0
valu,20.0,23.0,32.0,22.0,32.0,24.0,27.0,21.0,24.0,22.0
mem,20.0,30.0,29.0,37.0,34.0,41.0,31.0,54.0,41.0,58.0
nod,20.0,38.0,27.0,26.0,23.0,27.0,17.0,18.0,22.0,19.0
