word,2009_freq,2010_freq,2011_freq,2012_freq,2013_freq,2014_freq,2015_freq,2016_freq,2017_freq,2018_freq
match,34.0,45.0,71.0,47.0,64.0,62.0,56.0,47.0,59.0,50.0
link,33.0,40.0,49.0,38.0,26.0,24.0,24.0,27.0,27.0,19.0
approximate,33.0,45.0,64.0,59.0,64.0,63.0,51.0,45.0,36.0,35.0
digital,33.0,79.0,34.0,24.0,31.0,41.0,24.0,17.0,20.0,13.0
filter,33.0,40.0,41.0,48.0,61.0,44.0,50.0,45.0,44.0,42.0
word,33.0,27.0,49.0,27.0,22.0,34.0,40.0,75.0,65.0,47.0
deterministic,33.0,39.0,23.0,25.0,16.0,17.0,24.0,14.0,20.0,13.0
energy,33.0,48.0,49.0,75.0,86.0,106.0,93.0,99.0,65.0,51.0
complex,32.0,33.0,43.0,27.0,32.0,44.0,39.0,30.0,39.0,29.0
problem,31.0,25.0,39.0,36.0,32.0,39.0,31.0,30.0,22.0,12.0
theorem,31.0,26.0,27.0,17.0,17.0,23.0,22.0,17.0,12.0,12.0
properties,31.0,30.0,28.0,29.0,24.0,31.0,35.0,22.0,19.0,12.0
discrete,31.0,40.0,31.0,36.0,36.0,22.0,33.0,16.0,27.0,16.0
map,31.0,32.0,32.0,44.0,46.0,36.0,42.0,52.0,47.0,62.0
ad,31.0,59.0,35.0,40.0,15.0,16.0,11.0,10.0,18.0,8.0
scientific,31.0,21.0,13.0,10.0,21.0,21.0,14.0,20.0,13.0,13.0
class,31.0,26.0,50.0,35.0,44.0,31.0,32.0,27.0,34.0,25.0
generalize,30.0,45.0,70.0,47.0,49.0,51.0,38.0,42.0,36.0,27.0
lower,30.0,29.0,26.0,30.0,33.0,34.0,32.0,22.0,20.0,10.0
entropy,30.0,28.0,25.0,27.0,30.0,34.0,29.0,11.0,14.0,14.0
global,30.0,27.0,23.0,12.0,26.0,20.0,22.0,26.0,21.0,21.0
type,30.0,46.0,65.0,37.0,26.0,25.0,35.0,37.0,30.0,34.0
maximum,29.0,30.0,34.0,25.0,28.0,29.0,34.0,21.0,22.0,20.0
hybrid,29.0,40.0,51.0,66.0,49.0,43.0,51.0,56.0,49.0,46.0
note,29.0,33.0,20.0,24.0,23.0,17.0,20.0,22.0,14.0,14.0
decision,29.0,42.0,42.0,50.0,67.0,25.0,34.0,37.0,28.0,37.0
hoc,29.0,59.0,34.0,35.0,12.0,15.0,10.0,9.0,10.0,5.0
support,29.0,43.0,39.0,30.0,49.0,35.0,37.0,29.0,28.0,31.0
recognition,29.0,56.0,54.0,43.0,81.0,83.0,114.0,121.0,123.0,144.0
code,29.0,36.0,27.0,24.0,31.0,23.0,32.0,31.0,35.0,22.0
recovery,29.0,35.0,34.0,38.0,34.0,25.0,29.0,31.0,23.0,17.0
result,29.0,38.0,44.0,36.0,34.0,26.0,25.0,24.0,22.0,9.0
protocols,29.0,42.0,36.0,29.0,26.0,22.0,21.0,7.0,10.0,14.0
find,29.0,18.0,30.0,19.0,41.0,31.0,24.0,20.0,28.0,19.0
knowledge,29.0,39.0,46.0,42.0,44.0,34.0,53.0,53.0,55.0,59.0
allocation,29.0,42.0,58.0,51.0,41.0,61.0,42.0,52.0,46.0,28.0
order,29.0,38.0,56.0,59.0,32.0,27.0,42.0,31.0,38.0,23.0
probabilistic,29.0,52.0,61.0,61.0,84.0,56.0,52.0,50.0,50.0,30.0
tool,29.0,27.0,38.0,28.0,25.0,40.0,30.0,33.0,42.0,20.0
internet,29.0,25.0,24.0,19.0,30.0,23.0,26.0,30.0,28.0,25.0
feature,28.0,32.0,61.0,64.0,48.0,75.0,89.0,109.0,105.0,99.0
cover,28.0,26.0,27.0,27.0,25.0,24.0,17.0,14.0,22.0,14.0
social,28.0,58.0,80.0,102.0,125.0,129.0,95.0,109.0,85.0,72.0
problems,28.0,25.0,22.0,20.0,20.0,25.0,22.0,19.0,16.0,13.0
simple,28.0,46.0,42.0,49.0,36.0,27.0,38.0,22.0,25.0,29.0
traffic,28.0,23.0,22.0,31.0,21.0,28.0,24.0,31.0,33.0,26.0
algebraic,27.0,29.0,28.0,21.0,17.0,17.0,14.0,15.0,6.0,7.0
strategies,27.0,31.0,33.0,27.0,31.0,38.0,17.0,21.0,18.0,13.0
representation,27.0,29.0,37.0,29.0,36.0,36.0,47.0,48.0,58.0,53.0
dynamics,27.0,30.0,32.0,25.0,35.0,39.0,19.0,40.0,32.0,22.0
computer,27.0,25.0,28.0,21.0,30.0,22.0,18.0,32.0,31.0,16.0
object,27.0,30.0,35.0,34.0,30.0,54.0,83.0,89.0,84.0,99.0
neural,27.0,49.0,28.0,31.0,43.0,66.0,148.0,296.0,420.0,419.0
user,27.0,44.0,40.0,41.0,50.0,62.0,45.0,37.0,42.0,34.0
environment,27.0,24.0,16.0,32.0,23.0,28.0,29.0,15.0,19.0,28.0
collaborative,27.0,33.0,14.0,34.0,25.0,27.0,18.0,24.0,18.0,24.0
field,27.0,33.0,26.0,35.0,38.0,30.0,42.0,31.0,30.0,24.0
cellular,27.0,42.0,42.0,46.0,45.0,61.0,52.0,55.0,32.0,20.0
joint,27.0,34.0,34.0,37.0,44.0,40.0,56.0,59.0,62.0,45.0
stream,27.0,39.0,28.0,39.0,42.0,46.0,46.0,34.0,34.0,36.0
correlate,27.0,18.0,24.0,19.0,14.0,15.0,12.0,9.0,11.0,8.0
markov,27.0,33.0,34.0,45.0,47.0,36.0,31.0,28.0,25.0,26.0
databases,26.0,19.0,21.0,21.0,19.0,15.0,13.0,22.0,12.0,8.0
regular,26.0,27.0,17.0,13.0,17.0,22.0,15.0,8.0,8.0,8.0
n,26.0,19.0,14.0,9.0,13.0,16.0,13.0,9.0,12.0,11.0
citation,26.0,7.0,11.0,6.0,10.0,9.0,9.0,16.0,4.0,7.0
rank,26.0,40.0,38.0,43.0,30.0,46.0,53.0,36.0,34.0,38.0
effect,26.0,29.0,24.0,29.0,38.0,44.0,24.0,38.0,32.0,31.0
group,26.0,45.0,35.0,40.0,49.0,32.0,45.0,35.0,30.0,30.0
methods,26.0,36.0,56.0,53.0,62.0,67.0,47.0,47.0,62.0,45.0
spectrum,26.0,44.0,34.0,46.0,37.0,32.0,39.0,27.0,15.0,16.0
single,26.0,19.0,13.0,15.0,25.0,25.0,24.0,20.0,29.0,35.0
mine,26.0,53.0,42.0,57.0,39.0,35.0,41.0,33.0,31.0,40.0
decomposition,25.0,21.0,19.0,20.0,21.0,35.0,44.0,19.0,20.0,19.0
randomize,25.0,14.0,25.0,14.0,19.0,16.0,16.0,18.0,11.0,14.0
simulation,25.0,43.0,41.0,35.0,41.0,26.0,29.0,36.0,35.0,33.0
multiagent,25.0,10.0,23.0,18.0,16.0,20.0,15.0,14.0,15.0,16.0
partition,25.0,26.0,25.0,30.0,37.0,24.0,34.0,15.0,20.0,16.0
alignment,25.0,25.0,25.0,28.0,25.0,27.0,19.0,22.0,26.0,22.0
propagation,25.0,23.0,24.0,32.0,23.0,22.0,14.0,16.0,12.0,15.0
without,25.0,16.0,26.0,26.0,24.0,30.0,22.0,20.0,34.0,24.0
share,25.0,38.0,46.0,32.0,40.0,35.0,46.0,41.0,39.0,23.0
architecture,25.0,36.0,33.0,42.0,33.0,34.0,29.0,42.0,44.0,41.0
secrecy,25.0,18.0,16.0,17.0,22.0,12.0,17.0,7.0,15.0,10.0
use,25.0,34.0,41.0,42.0,25.0,27.0,34.0,31.0,34.0,34.0
reconstruction,25.0,22.0,16.0,29.0,27.0,20.0,31.0,22.0,50.0,31.0
infinite,25.0,7.0,20.0,14.0,11.0,8.0,3.0,7.0,6.0,4.0
semantic,24.0,42.0,47.0,41.0,39.0,43.0,50.0,80.0,83.0,97.0
fuzzy,24.0,41.0,41.0,50.0,42.0,41.0,26.0,22.0,16.0,9.0
science,24.0,10.0,21.0,15.0,18.0,19.0,25.0,21.0,16.0,13.0
cloud,24.0,42.0,41.0,61.0,59.0,79.0,76.0,75.0,54.0,54.0
compression,24.0,27.0,29.0,27.0,39.0,25.0,21.0,23.0,27.0,25.0
opportunistic,24.0,8.0,11.0,18.0,21.0,11.0,10.0,4.0,6.0,3.0
verification,24.0,30.0,40.0,27.0,37.0,38.0,17.0,22.0,31.0,27.0
check,24.0,24.0,28.0,23.0,17.0,24.0,27.0,17.0,21.0,13.0
grid,24.0,28.0,30.0,23.0,24.0,28.0,21.0,19.0,15.0,18.0
robust,24.0,43.0,68.0,64.0,54.0,55.0,65.0,88.0,73.0,64.0
survey,24.0,38.0,26.0,52.0,48.0,52.0,54.0,50.0,51.0,48.0
direct,24.0,33.0,23.0,36.0,25.0,25.0,31.0,30.0,19.0,18.0
multiuser,24.0,29.0,29.0,28.0,26.0,30.0,23.0,30.0,15.0,14.0
enhance,24.0,18.0,22.0,35.0,22.0,36.0,30.0,22.0,27.0,27.0
semantics,24.0,43.0,38.0,27.0,28.0,30.0,19.0,23.0,18.0,17.0
planar,24.0,25.0,25.0,26.0,14.0,15.0,15.0,15.0,16.0,13.0
convex,24.0,14.0,27.0,32.0,27.0,34.0,31.0,19.0,18.0,16.0
low,24.0,32.0,13.0,38.0,31.0,22.0,30.0,17.0,27.0,29.0
xml,23.0,13.0,12.0,6.0,10.0,5.0,2.0,0.0,2.0,0.0
scale,23.0,40.0,30.0,32.0,34.0,28.0,47.0,37.0,38.0,46.0
reduction,23.0,29.0,39.0,35.0,34.0,31.0,38.0,28.0,24.0,16.0
stability,23.0,23.0,24.0,18.0,24.0,24.0,24.0,17.0,20.0,16.0
layer,23.0,22.0,11.0,25.0,25.0,23.0,24.0,26.0,24.0,9.0
term,23.0,18.0,18.0,18.0,12.0,9.0,16.0,12.0,13.0,11.0
generate,23.0,23.0,27.0,22.0,18.0,19.0,20.0,24.0,25.0,26.0
combinatorial,23.0,17.0,17.0,26.0,15.0,21.0,22.0,10.0,10.0,7.0
geometric,23.0,32.0,27.0,14.0,26.0,17.0,18.0,15.0,23.0,22.0
matrices,23.0,28.0,19.0,29.0,30.0,30.0,36.0,28.0,17.0,8.0
algorithmic,23.0,15.0,20.0,11.0,13.0,18.0,16.0,8.0,8.0,9.0
universal,23.0,19.0,24.0,22.0,17.0,18.0,14.0,20.0,11.0,15.0
convergence,23.0,15.0,21.0,17.0,22.0,12.0,21.0,17.0,19.0,14.0
partial,23.0,33.0,30.0,23.0,28.0,19.0,24.0,21.0,20.0,11.0
symmetric,23.0,29.0,23.0,11.0,19.0,16.0,15.0,8.0,22.0,14.0
novel,23.0,29.0,45.0,66.0,39.0,50.0,36.0,37.0,23.0,27.0
recursive,22.0,9.0,10.0,11.0,14.0,15.0,4.0,13.0,9.0,8.0
multimedia,22.0,11.0,13.0,11.0,10.0,6.0,14.0,5.0,8.0,4.0
research,22.0,18.0,14.0,25.0,27.0,32.0,37.0,36.0,33.0,18.0
evolutionary,22.0,9.0,32.0,15.0,27.0,12.0,9.0,11.0,23.0,18.0
artificial,22.0,29.0,22.0,18.0,20.0,25.0,21.0,17.0,28.0,21.0
document,22.0,23.0,14.0,19.0,19.0,19.0,19.0,27.0,23.0,8.0
automate,22.0,21.0,29.0,26.0,30.0,21.0,21.0,34.0,47.0,36.0
impact,22.0,38.0,25.0,29.0,32.0,34.0,29.0,25.0,29.0,30.0
region,22.0,31.0,36.0,21.0,26.0,19.0,15.0,24.0,17.0,10.0
ldpc,22.0,35.0,29.0,27.0,11.0,16.0,9.0,6.0,9.0,5.0
extend,22.0,40.0,39.0,35.0,46.0,50.0,39.0,45.0,33.0,30.0
iterative,21.0,18.0,19.0,23.0,33.0,15.0,22.0,20.0,20.0,9.0
exact,21.0,22.0,29.0,25.0,21.0,25.0,14.0,11.0,22.0,6.0
p,21.0,13.0,19.0,10.0,8.0,8.0,16.0,5.0,1.0,1.0
key,21.0,40.0,38.0,36.0,26.0,33.0,24.0,15.0,13.0,17.0
optimize,21.0,29.0,25.0,22.0,27.0,37.0,27.0,32.0,23.0,16.0
perspective,21.0,17.0,11.0,20.0,17.0,18.0,33.0,31.0,27.0,22.0
minimal,21.0,14.0,11.0,11.0,13.0,24.0,19.0,13.0,10.0,14.0
compressive,21.0,17.0,27.0,24.0,30.0,23.0,27.0,14.0,14.0,9.0
communications,21.0,24.0,21.0,30.0,30.0,30.0,51.0,36.0,47.0,25.0
bayesian,20.0,24.0,22.0,83.0,98.0,36.0,41.0,39.0,41.0,32.0
spatial,20.0,23.0,35.0,34.0,28.0,37.0,22.0,31.0,28.0,33.0
metric,20.0,14.0,21.0,26.0,25.0,22.0,19.0,22.0,20.0,20.0
real,20.0,26.0,16.0,23.0,16.0,13.0,17.0,16.0,12.0,14.0
tradeoff,20.0,18.0,12.0,8.0,12.0,15.0,10.0,12.0,5.0,15.0
inference,20.0,23.0,31.0,60.0,56.0,26.0,20.0,28.0,45.0,46.0
minimization,20.0,25.0,22.0,22.0,25.0,25.0,22.0,16.0,23.0,9.0
reason,20.0,17.0,30.0,22.0,57.0,32.0,25.0,20.0,21.0,25.0
circuit,20.0,23.0,20.0,19.0,22.0,25.0,18.0,17.0,8.0,19.0
discovery,20.0,23.0,13.0,30.0,26.0,23.0,36.0,20.0,26.0,14.0
retrieval,20.0,38.0,33.0,30.0,27.0,41.0,38.0,51.0,49.0,48.0
average,20.0,19.0,19.0,17.0,17.0,11.0,6.0,6.0,15.0,10.0
privacy,20.0,28.0,38.0,43.0,25.0,33.0,36.0,38.0,45.0,32.0
size,20.0,25.0,14.0,14.0,25.0,18.0,19.0,12.0,14.0,18.0
realtime,20.0,38.0,32.0,22.0,26.0,35.0,38.0,46.0,54.0,56.0
automatic,20.0,26.0,31.0,38.0,42.0,33.0,29.0,53.0,62.0,53.0
quality,20.0,24.0,16.0,27.0,38.0,43.0,28.0,32.0,34.0,28.0
noisy,20.0,22.0,15.0,19.0,21.0,11.0,16.0,17.0,18.0,17.0
color,20.0,29.0,29.0,38.0,27.0,29.0,31.0,29.0,22.0,16.0
index,19.0,16.0,32.0,21.0,38.0,29.0,30.0,14.0,16.0,13.0
environments,19.0,22.0,18.0,20.0,25.0,18.0,19.0,22.0,36.0,35.0
transform,19.0,35.0,24.0,26.0,26.0,17.0,29.0,11.0,22.0,15.0
multidimensional,19.0,18.0,15.0,18.0,14.0,12.0,10.0,11.0,10.0,7.0
level,19.0,22.0,26.0,18.0,17.0,19.0,25.0,21.0,16.0,14.0
basis,19.0,12.0,14.0,6.0,9.0,9.0,4.0,4.0,7.0,2.0
strong,19.0,16.0,21.0,21.0,18.0,14.0,13.0,8.0,11.0,14.0
authentication,19.0,28.0,24.0,25.0,24.0,15.0,15.0,12.0,10.0,12.0
small,19.0,16.0,21.0,20.0,29.0,26.0,39.0,38.0,27.0,18.0
resource,19.0,29.0,45.0,39.0,29.0,36.0,32.0,36.0,38.0,32.0
arbitrary,19.0,11.0,10.0,20.0,16.0,13.0,8.0,12.0,12.0,6.0
nonlinear,19.0,24.0,23.0,21.0,25.0,32.0,33.0,37.0,46.0,29.0
